# 49971 addresses changed in all 4 diffs
# values from level20.snap; addr  int32_le  float32  hex
* 0x00007ff60ccbce98    820848016   1.7255e-09  9025ed30
  0x00007ff60ccbce99   -298783451  -1.3689e+28  25ed30ee
  0x00007ff60ccbce9a     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccbce9b       126512   1.7728e-40  30ee0100
  0x00007ff60ccbce9c          494   6.9224e-43  ee010000
  0x00007ff60ccbce9d  -1207959551  -3.0518e-05  010000b8
* 0x00007ff60ccbced1   -304467864  -8.4408e+27  6830daed
  0x00007ff60ccbced2     32365104   8.7373e-38  30daed01
* 0x00007ff60ccbced4          493   6.9084e-43  ed010000
  0x00007ff60ccbced5   -671088639  -5.6295e+14  010000d8
* 0x00007ff60ccbcf08    738211152   1.8219e-12  5035002c
  0x00007ff60ccbcf09   -299106251  -1.3308e+28  35002cee
  0x00007ff60ccbcf0a     32386048   8.7491e-38  002cee01
  0x00007ff60ccbcf0b       126508   1.7728e-40  2cee0100
  0x00007ff60ccbcf0c          494   6.9224e-43  ee010000
  0x00007ff60ccbcf0d  -2013265919  -3.8519e-34  01000088
* 0x00007ff60ccbcf40    779947360   5.7537e-11  600d7d2e
  0x00007ff60ccbcf41   -298943219  -1.3500e+28  0d7d2eee
  0x00007ff60ccbcf42     32386685   8.7494e-38  7d2eee01
* 0x00007ff60ccbcf44          494   6.9224e-43  ee010000
  0x00007ff60ccbcf45    218103809   3.9443e-31  0100000d
* 0x00007ff60ccbcf90    738207616   1.8212e-12  8027002c
  0x00007ff60ccbcf91   -299106265  -1.3308e+28  27002cee
  0x00007ff60ccbcf92     32386048   8.7491e-38  002cee01
* 0x00007ff60ccbcf94          494   6.9224e-43  ee010000
  0x00007ff60ccbcf95  -1409286143  -1.8190e-12  010000ac
* 0x00007ff60ccbcfc8   -307434784  -6.6894e+27  e0eaaced
  0x00007ff60ccbcfc9   -303190806  -9.1946e+27  eaaceded
  0x00007ff60ccbcfca     32370092   8.7401e-38  aceded01
* 0x00007ff60ccbcfcc          493   6.9084e-43  ed010000
  0x00007ff60ccbcfcd    402653185   1.6544e-24  01000018
* 0x00007ff60ccbd068    815077152   1.0848e-09  20179530
  0x00007ff60ccbd069   -298805993  -1.3662e+28  179530ee
  0x00007ff60ccbd06a     32387221   8.7497e-38  9530ee01
  0x00007ff60ccbd06b       126512   1.7728e-40  30ee0100
  0x00007ff60ccbd06c          494   6.9224e-43  ee010000
  0x00007ff60ccbd06d  -1409286143  -1.8190e-12  010000ac
* 0x00007ff60ccbd0a1   -298761153  -1.3715e+28  3f4431ee
  0x00007ff60ccbd0a2     32387396   8.7498e-38  4431ee01
* 0x00007ff60ccbd0a4          494   6.9224e-43  ee010000
  0x00007ff60ccbd0a5  -2013265919  -3.8519e-34  01000088
* 0x00007ff60ccbd140    779940912   5.7515e-11  30f47c2e
  0x00007ff60ccbd141   -298943244  -1.3500e+28  f47c2eee
  0x00007ff60ccbd142     32386684   8.7494e-38  7c2eee01
* 0x00007ff60ccbd144          494   6.9224e-43  ee010000
  0x00007ff60ccbd145    234881025   1.5777e-30  0100000e
* 0x00007ff60ccbd1b0    779946944   5.7536e-11  c00b7d2e
  0x00007ff60ccbd1b1   -298943221  -1.3500e+28  0b7d2eee
  0x00007ff60ccbd1b2     32386685   8.7494e-38  7d2eee01
* 0x00007ff60ccbd1b4          494   6.9224e-43  ee010000
  0x00007ff60ccbd1b5    268435457   2.5244e-29  01000010
* 0x00007ff60ccbd2e0    786015392   9.8973e-11  a0a4d92e
  0x00007ff60ccbd2e1   -298919516  -1.3528e+28  a4d92eee
  0x00007ff60ccbd2e2     32386777   8.7495e-38  d92eee01
  0x00007ff60ccbd2e3       126510   1.7728e-40  2eee0100
  0x00007ff60ccbd2e4          494   6.9224e-43  ee010000
  0x00007ff60ccbd2e5    872415233   1.1921e-07  01000034
* 0x00007ff60ccbd3f1   -298783453  -1.3689e+28  23ed30ee
  0x00007ff60ccbd3f2     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccbd3f3       126512   1.7728e-40  30ee0100
  0x00007ff60ccbd3f4          494   6.9224e-43  ee010000
  0x00007ff60ccbd3f5  -2147483647  -1.4013e-45  01000080
* 0x00007ff60ccbd428    738210944   1.8219e-12  8034002c
  0x00007ff60ccbd429   -299106252  -1.3308e+28  34002cee
  0x00007ff60ccbd42a     32386048   8.7491e-38  002cee01
  0x00007ff60ccbd42b       126508   1.7728e-40  2cee0100
  0x00007ff60ccbd42c          494   6.9224e-43  ee010000
  0x00007ff60ccbd42d   -805306367  -8.5899e+09  010000d0
* 0x00007ff60ccbd460   -898188096  -4.0425e+06  c0bc76ca
  0x00007ff60ccbd461   -305498436  -7.8324e+27  bc76caed
  0x00007ff60ccbd462     32361078   8.7351e-38  76caed01
  0x00007ff60ccbd463       126410   1.7714e-40  caed0100
